severity,accuracy,mean_poly_k,elapsed_time_poly_k
-0.0,1.0,1.0,0.06466865539550781
-0.032999999821186,0.998,0.9990000000000002,0.06605124473571777
-0.0659999996423721,0.998,0.9960000000000002,0.06707572937011719
-0.0989999994635582,0.996,0.9909999999999998,0.0702981948852539
-0.1319999992847442,0.994,0.984,0.0728750228881836
-0.1649999916553497,0.982,0.9749999999999998,0.07457304000854492
-0.1979999989271164,0.98,0.9640000000000002,0.07657551765441895
-0.231000006198883,0.954,0.9510000000000002,0.08477926254272461
-0.2639999985694885,0.928,0.936,0.07674431800842285
-0.296999990940094,0.906,0.9190000000000003,0.0782938003540039
-0.3299999833106994,0.876,0.9000000000000002,0.08321785926818848
-0.3630000054836273,0.84,0.8789999999999998,0.08215069770812988
-0.3959999978542328,0.792,0.856,0.08369636535644531
-0.4289999902248382,0.73,0.8309999999999997,0.08352947235107422
-0.4620000123977661,0.694,0.8040000000000003,0.08515024185180664
-0.4950000047683716,0.62,0.7750000000000002,0.08548259735107422
-0.527999997138977,0.57,0.7439999999999999,0.08669853210449219
-0.5609999895095825,0.544,0.711,0.08781003952026367
-0.593999981880188,0.498,0.6760000000000002,0.08975815773010254
-0.6270000338554382,0.472,0.639,0.09174847602844238
-0.6600000262260437,0.446,0.5999999999999998,0.09114670753479004
-0.6930000185966492,0.426,0.559,0.09203720092773438
-0.7260000109672546,0.384,0.516,0.09342408180236816
-0.7590000033378601,0.34,0.471,0.09455680847167969
-0.7919999957084656,0.35,0.4239999999999997,0.09721040725708008
-0.824999988079071,0.344,0.37499999999999994,0.09760260581970215
-0.8580000400543213,0.296,0.3239999999999999,0.09961462020874023
-0.8910000324249268,0.262,0.2709999999999999,0.09907197952270508
-0.9240000247955322,0.27,0.21600000000000003,0.10041260719299316
-0.9570000171661376,0.246,0.15899999999999997,0.10247063636779785
-0.9900000095367432,0.262,0.10000000000000003,0.10292243957519531
0.0,0.998,1.0,0.06682610511779785
0.032999999821186,0.998,0.9990000000000002,0.06844353675842285
0.0659999996423721,0.996,0.9960000000000002,0.0692758560180664
0.0989999994635582,0.998,0.9909999999999998,0.07092714309692383
0.1319999992847442,0.984,0.984,0.14854741096496582
0.1649999916553497,0.982,0.9749999999999998,0.07569265365600586
0.1979999989271164,0.976,0.9640000000000002,0.07412862777709961
0.231000006198883,0.96,0.9510000000000002,0.07597756385803223
0.2639999985694885,0.944,0.936,0.07691121101379395
0.296999990940094,0.892,0.9190000000000003,0.07852363586425781
0.3299999833106994,0.87,0.9000000000000002,0.07863879203796387
0.3630000054836273,0.854,0.8789999999999998,0.08024263381958008
0.3959999978542328,0.796,0.856,0.08315730094909668
0.4289999902248382,0.75,0.8309999999999997,0.08314657211303711
0.4620000123977661,0.698,0.8040000000000003,0.08377432823181152
0.4950000047683716,0.658,0.7750000000000002,0.09075498580932617
0.527999997138977,0.638,0.7439999999999999,0.0883643627166748
0.5609999895095825,0.61,0.711,0.08810639381408691
0.593999981880188,0.582,0.6760000000000002,0.09001851081848145
0.6270000338554382,0.548,0.639,0.09045815467834473
0.6600000262260437,0.534,0.5999999999999998,0.0922708511352539
0.6930000185966492,0.49,0.559,0.09320282936096191
0.7260000109672546,0.424,0.516,0.09447979927062988
0.7590000033378601,0.454,0.471,0.09456968307495117
0.7919999957084656,0.406,0.4239999999999997,0.098297119140625
0.824999988079071,0.364,0.37499999999999994,0.09756302833557129
0.8580000400543213,0.358,0.3239999999999999,0.09896373748779297
0.8910000324249268,0.318,0.2709999999999999,0.09906148910522461
0.9240000247955322,0.32,0.21600000000000003,0.10067439079284668
0.9570000171661376,0.29,0.15899999999999997,0.10302948951721191
0.9900000095367432,0.28,0.10000000000000003,0.10316252708435059
